customer_id,country,education,gender,member_card,total_children,Recency,Frequency,Monetary
3,USA,Bachelors Degree,F,Bronze,1,35,3,98.54
5,USA,Partial College,F,Silver,3,362,1,1.08
6,USA,Bachelors Degree,F,Bronze,3,162,1,65.76
10,USA,Bachelors Degree,M,Golden,4,28,3,53.82
14,USA,Bachelors Degree,F,Bronze,2,173,1,9.14
17,USA,High School Degree,M,Bronze,3,16,2,50.17
19,USA,High School Degree,F,Bronze,1,179,1,13.37
20,USA,Partial High School,F,Normal,2,195,2,57.46
21,USA,High School Degree,M,Normal,1,292,1,4.6
23,USA,High School Degree,F,Silver,2,292,1,28.46
26,USA,Partial High School,M,Normal,0,74,1,35.65
28,USA,Partial High School,F,Silver,1,78,3,62.06
30,USA,Bachelors Degree,F,Bronze,4,78,4,105.93
36,USA,Partial High School,M,Normal,1,46,4,80.99
39,USA,Graduate Degree,F,Bronze,4,18,7,241.77
40,USA,Partial College,M,Bronze,1,266,1,21.86
41,USA,High School Degree,M,Bronze,1,96,2,100.58
43,USA,Bachelors Degree,F,Bronze,2,171,2,65.17
44,USA,High School Degree,M,Bronze,1,12,6,197.8
45,USA,Bachelors Degree,M,Golden,5,208,2,81.2
49,USA,High School Degree,F,Bronze,4,80,4,77.96
50,USA,Partial High School,M,Bronze,4,104,2,55.53
55,USA,Partial High School,M,Normal,3,195,3,53.9
56,USA,Partial High School,M,Normal,3,116,1,33.26
62,USA,High School Degree,M,Golden,1,180,1,24.87
64,USA,Partial High School,M,Normal,4,304,2,47.46
74,USA,Bachelors Degree,M,Bronze,3,158,2,43.07
76,USA,High School Degree,F,Normal,1,47,11,273.11
77,USA,Bachelors Degree,M,Normal,2,118,3,55.51
79,USA,Bachelors Degree,M,Bronze,2,7,7,116.15
80,USA,Bachelors Degree,F,Bronze,1,25,3,83.06
81,USA,Partial High School,M,Normal,2,113,2,37.73
88,USA,High School Degree,F,Bronze,2,21,2,53.99
89,USA,High School Degree,F,Bronze,4,28,2,97.27
91,USA,Bachelors Degree,M,Bronze,1,105,4,102.7
93,USA,Bachelors Degree,M,Golden,5,37,5,121.73
96,USA,Bachelors Degree,M,Normal,0,121,1,43.57
99,USA,Bachelors Degree,F,Bronze,3,5,9,340.74
105,USA,Bachelors Degree,M,Golden,3,263,2,17.84
106,USA,Bachelors Degree,M,Bronze,5,30,4,142.65
110,USA,Partial High School,M,Normal,3,55,2,30.73
112,USA,High School Degree,F,Bronze,4,86,3,65.01
115,USA,Bachelors Degree,F,Silver,3,3,5,136.28
117,USA,Graduate Degree,F,Bronze,3,345,2,101.85
118,USA,Bachelors Degree,M,Bronze,2,4,5,137.03
120,USA,High School Degree,F,Bronze,0,83,2,62.35
121,USA,High School Degree,F,Silver,5,78,2,61.03
125,USA,Bachelors Degree,M,Bronze,2,236,2,27.64
126,USA,Partial College,F,Normal,2,49,1,45.13
127,USA,Partial High School,M,Normal,1,60,3,54.68
128,USA,High School Degree,F,Bronze,1,78,4,146.64
130,USA,Graduate Degree,F,Bronze,4,7,1,17.05
131,USA,Partial High School,M,Normal,3,297,2,52.93
133,USA,High School Degree,M,Bronze,1,55,2,38.71
136,USA,Bachelors Degree,M,Golden,3,200,2,70.7
137,USA,Partial College,F,Bronze,3,54,2,55.74
139,USA,Partial High School,M,Bronze,1,37,1,29
142,USA,Bachelors Degree,F,Golden,2,339,1,38.2
143,USA,Partial College,F,Golden,5,49,3,61
148,USA,High School Degree,M,Bronze,2,143,2,62.47
149,USA,Bachelors Degree,M,Bronze,1,5,2,37.59
151,USA,Partial College,F,Bronze,3,320,1,25.43
152,USA,High School Degree,F,Silver,2,247,2,34.02
154,USA,Bachelors Degree,F,Bronze,0,14,7,153.05
157,USA,Bachelors Degree,F,Bronze,2,12,2,21.36
158,USA,Partial College,F,Bronze,3,40,11,261.81
159,USA,High School Degree,M,Bronze,4,47,3,159.48
160,USA,Partial High School,F,Golden,1,78,3,70.03
161,USA,High School Degree,F,Bronze,1,131,3,123.04
163,USA,Partial High School,F,Normal,5,71,1,44.2
165,USA,Bachelors Degree,M,Bronze,2,196,1,27.52
167,USA,Graduate Degree,M,Bronze,2,271,1,34.43
168,USA,Partial High School,F,Normal,4,286,1,4.42
169,USA,Partial High School,F,Bronze,0,14,7,219.92
170,USA,Partial High School,M,Normal,1,84,3,104
172,USA,Bachelors Degree,F,Silver,3,126,2,47.06
176,USA,Partial College,M,Silver,2,40,2,23.83
